%CPU %MEM ARGS Mon Mar  7 13:32:00 CST 2016
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 0.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 0.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 2.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 2.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 3.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 3.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 3.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 4.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 3.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 6.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 3.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 7.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 4.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
 9.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
17.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
 4.0  0.0 ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa com1379 rsync --server --sender -vlogDtprze.iLs . /home/zlu12/PowerGraph/release/apps/ds_dist/
10.0  0.0 rsync -e ssh -o StrictHostKeyChecking=no -i /home/zlu12/.ssh/id_rsa -avz --exclude *.make --exclude *.cmake --exclude *.internal --exclude *.includecache --exclude *.o com1379:/home/zlu12/PowerGraph/release/apps/ds_dist/ /home/zlu12/PowerGraph/release/apps/ds_dist
